"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-14 04:00:00,93.5 %H
2023-03-14 05:00:00,94.8 %H
2023-03-14 06:00:00,94.8 %H
2023-03-14 07:00:00,94.9 %H
2023-03-14 08:00:00,94.7 %H
2023-03-14 09:00:00,93.3 %H
2023-03-14 10:00:00,92.1 %H
2023-03-14 11:00:00,88.0 %H
2023-03-14 12:00:00,85.0 %H
2023-03-14 13:00:00,85.0 %H
2023-03-14 14:00:00,83.0 %H
2023-03-14 15:00:00,80.5 %H
2023-03-14 16:00:00,82.0 %H
2023-03-14 17:00:00,83.5 %H
2023-03-14 18:00:00,84.8 %H
2023-03-14 19:00:00,86.5 %H
2023-03-14 20:00:00,87.0 %H
2023-03-14 21:00:00,87.7 %H
2023-03-14 22:00:00,90.4 %H
2023-03-14 23:00:00,89.7 %H
2023-03-15 00:00:00,90.5 %H
2023-03-15 01:00:00,91.6 %H
2023-03-15 02:00:00,92.2 %H
2023-03-15 03:00:00,92.1 %H
2023-03-15 04:00:00,91.4 %H
2023-03-15 05:00:00,90.8 %H
2023-03-15 06:00:00,92.4 %H
2023-03-15 07:00:00,93.5 %H
2023-03-15 08:00:00,92.9 %H
2023-03-15 09:00:00,88.1 %H
2023-03-15 10:00:00,76.9 %H
2023-03-15 11:00:00,71.2 %H
2023-03-15 12:00:00,73.0 %H
2023-03-15 13:00:00,78.8 %H
2023-03-15 14:00:00,76.1 %H
2023-03-15 15:00:00,70.3 %H
2023-03-15 16:00:00,65.9 %H
2023-03-15 17:00:00,67.3 %H
2023-03-15 18:00:00,73.1 %H
2023-03-15 19:00:00,75.9 %H
2023-03-15 20:00:00,80.9 %H
2023-03-15 21:00:00,82.8 %H
2023-03-15 22:00:00,82.3 %H
2023-03-15 23:00:00,83.7 %H
2023-03-16 00:00:00,85.3 %H
2023-03-16 01:00:00,86.7 %H
2023-03-16 02:00:00,86.9 %H
2023-03-16 03:00:00,88.2 %H
2023-03-16 04:00:00,89.0 %H
2023-03-16 05:00:00,89.1 %H
2023-03-16 06:00:00,88.8 %H
2023-03-16 07:00:00,90.7 %H
2023-03-16 08:00:00,89.0 %H
2023-03-16 09:00:00,83.6 %H
2023-03-16 10:00:00,80.3 %H
2023-03-16 11:00:00,76.3 %H
2023-03-16 12:00:00,73.8 %H
2023-03-16 13:00:00,72.8 %H
2023-03-16 14:00:00,72.2 %H
2023-03-16 15:00:00,72.9 %H
2023-03-16 16:00:00,83.6 %H
2023-03-16 17:00:00,92.8 %H
2023-03-16 18:00:00,88.3 %H
2023-03-16 19:00:00,85.6 %H
2023-03-16 20:00:00,87.1 %H
2023-03-16 21:00:00,85.3 %H
2023-03-16 22:00:00,87.0 %H
2023-03-16 23:00:00,86.7 %H
2023-03-17 00:00:00,89.2 %H
