"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-11 16:00:00,1.32 m/s
2023-05-11 17:00:00,1.71 m/s
2023-05-11 18:00:00,1.98 m/s
2023-05-11 19:00:00,1.83 m/s
2023-05-11 20:00:00,0.888 m/s
2023-05-11 21:00:00,1.41 m/s
2023-05-11 22:00:00,1.44 m/s
2023-05-12 01:00:00,1.66 m/s
2023-05-12 02:00:00,0.613 m/s
2023-05-12 03:00:00,0.936 m/s
2023-05-12 04:00:00,1.01 m/s
2023-05-12 05:00:00,0.937 m/s
2023-05-12 06:00:00,0.274 m/s
2023-05-12 07:00:00,0.457 m/s
2023-05-12 08:00:00,0.717 m/s
2023-05-12 09:00:00,1.23 m/s
2023-05-12 10:00:00,1.59 m/s
2023-05-12 11:00:00,1.42 m/s
2023-05-12 12:00:00,1.34 m/s
2023-05-12 13:00:00,1.20 m/s
2023-05-12 14:00:00,1.75 m/s
2023-05-12 15:00:00,1.93 m/s
2023-05-12 16:00:00,1.96 m/s
2023-05-12 17:00:00,1.90 m/s
2023-05-12 18:00:00,1.88 m/s
2023-05-12 19:00:00,2.27 m/s
2023-05-12 20:00:00,2.81 m/s
2023-05-12 21:00:00,1.71 m/s
2023-05-12 22:00:00,1.21 m/s
2023-05-12 23:00:00,2.09 m/s
2023-05-13 00:00:00,2.45 m/s
2023-05-13 01:00:00,0.760 m/s
2023-05-13 02:00:00,0.910 m/s
2023-05-13 03:00:00,1.42 m/s
2023-05-13 04:00:00,1.28 m/s
2023-05-13 05:00:00,0.790 m/s
2023-05-13 06:00:00,0.563 m/s
2023-05-13 07:00:00,0.947 m/s
2023-05-13 08:00:00,0.750 m/s
2023-05-29 09:00:00,2.50 m/s

